timestamp,agent.name,data.win.eventdata.workstationName,data.win.eventdata.targetUserName,data.win.eventdata.subjectDomainName,data.win.eventdata.ipAddress,data.win.eventdata.ipPort,rule.id,rule.mitre.id,data.win.eventdata.logonType,data.win.system.eventID,rule.level,rule.mitre.tactic,rule.description,data.win.eventdata.processName,data.win.eventdata.authenticationPackageName,data.win.eventdata.targetDomainName,data.win.eventdata.subjectUserName,data.win.eventdata.subStatus,data.win.eventdata.status
"07 Aug , 2026 @ 20:13:25.966",WIN11-ENDPOINT,WIN11-ENDPOINT,endpointuser,WORKGROUP,127.0.0.1,0,60122,"[""T1531""]",2,4625,5,"[""Impact""]",Logon Failure - Unknown user or bad password,C:\\Windows\\System32\\svchost.exe,Negotiate,WIN11-ENDPOINT,WIN11-ENDPOINT$,0xc000006a,0xc000006d
"07 Aug , 2026 @ 20:13:24.737",WIN11-ENDPOINT,WIN11-ENDPOINT,endpointuser,WORKGROUP,127.0.0.1,0,60122,"[""T1531""]",2,4625,5,"[""Impact""]",Logon Failure - Unknown user or bad password,C:\\Windows\\System32\\svchost.exe,Negotiate,WIN11-ENDPOINT,WIN11-ENDPOINT$,0xc000006a,0xc000006d
"07 Aug , 2026 @ 18:12:09.217",WIN11-ENDPOINT,,endpointuser,,192.168.56.1,46876,60122,"[""T1531""]",3,4625,5,"[""Impact""]",Logon Failure - Unknown user or bad password,,NTLM,,,0xc000006a,0xc000006d
"07 Aug , 2026 @ 18:12:04.811",WIN11-ENDPOINT,,endpointuser,,192.168.56.1,60856,60122,"[""T1531""]",3,4625,5,"[""Impact""]",Logon Failure - Unknown user or bad password,,NTLM,,,0xc000006a,0xc000006d
"07 Aug , 2026 @ 18:12:04.773",WIN11-ENDPOINT,,endpointuser,,192.168.56.1,60832,60122,"[""T1531""]",3,4625,5,"[""Impact""]",Logon Failure - Unknown user or bad password,,NTLM,,,0xc000006a,0xc000006d
